Relationship,Element 1,Element 2
Functional Flow,A - SRR - Requirements Development,A - ASR - Initial Analysis
Functional Flow,A - SFR - Solution Selection,A - SRR - Requirements Development
Functional Flow,B - SRR - Architecture Definition,A - SRR - Requirements Development
Functional Flow,A - SFR - Solution Selection,B - SFR - Detailed Analysis
Functional Flow,B - SFR - Develop Internal Geometry,B - SFR - Develop External Geometry
Functional Flow,B - SFR - Develop External Geometry,B - SFR - Develop Internal Geometry
Functional Flow,B - SFR - Detailed Analysis,B - SRR - Architecture Definition
Interfacing Capability,Capability Pillar Bravo,Capability Pillar Alpha
Interfacing Capability,Capability Pillar Alpha,Capability Pillar Bravo
Associated Gate to Function,A - ASR - Initial Analysis,ASR  Gate
Associated Gate to Function,B - ASR - Create Management Plan,ASR  Gate
Associated Gate to Function,A - SFR - Solution Selection,SFR Gate
Associated Gate to Function,B - SFR - Detailed Analysis,SFR Gate
Associated Gate to Function,B - SFR - Develop External Geometry,SFR Gate
Associated Gate to Function,B - SFR - Develop Internal Geometry,SFR Gate
Associated Gate to Function,A - SRR - Requirements Development,SRR  Gate
Associated Gate to Function,B - SRR - Architecture Definition,SRR  Gate
Realises Capability,Capability Pillar Alpha,A - ASR - Initial Analysis
Realises Capability,Capability Pillar Alpha,A - SFR - Solution Selection
Realises Capability,Capability Pillar Alpha,A - SRR - Requirements Development
Realises Capability,Capability Pillar Bravo,B - ASR - Create Management Plan
Realises Capability,Capability Pillar Bravo,B - SFR - Detailed Analysis
Realises Capability,Capability Pillar Bravo,B - SFR - Develop External Geometry
Realises Capability,Capability Pillar Bravo,B - SFR - Develop Internal Geometry
Realises Capability,Capability Pillar Bravo,B - SRR - Architecture Definition
Type of,Requirements Set,Customer Requirements
Type of,Requirements Set,Design Requirements
Instance Of,Customer Requirements,"Customer Requirements, Customer, ASR, [FINAL]"
Instance Of,Design Requirements,"Design Requirements, B, SFR, [FINAL]"
Instance Of,Analysis Dataset,"Detailed Analysis Dataset, A, SFR, [FINAL]"
Instance Of,Analysis Dataset,"Detailed Analysis Dataset, B, SFR, [FINAL]"
Instance Of,Analysis Report,"Detailed Analysis Report, B, SFR, [FINAL]"
Instance Of,External Geometry,"External Geometry, B, SFR, [DRAFT]"
Instance Of,Analysis Dataset,"Initial Analysis Dataset, A, ASR, [FINAL]"
Instance Of,Analysis Report,"Initial Analysis Report, A, ASR, [FINAL]"
Instance Of,Internal Geometry,"Internal Geometry, B,  SFR, [FINAL]"
Instance Of,Logical Architecture Model,"Logical Architecture Model, B, SRR, [FINAL]"
Instance Of,Management Plan,"Management Plan, B, ASR, [FINAL]"
Instance Of,Requirements Set,"Requirements Set, A, SRR, [FINAL]"
Instance Of,Solution Downselection,"Solution Downselection, A, SFR [FINAL]"
Realises Service,Bulk Analysis Data Management Service,Product Lifecycle Management Tool
Realises Service,Document Management Service,Product Lifecycle Management Tool
Associated Gate to Representation,"Customer Requirements, Customer, ASR, [FINAL]",ASR  Gate
Associated Gate to Representation,"Initial Analysis Dataset, A, ASR, [FINAL]",ASR  Gate
Associated Gate to Representation,"Initial Analysis Report, A, ASR, [FINAL]",ASR  Gate
Associated Gate to Representation,"Management Plan, B, ASR, [FINAL]",ASR  Gate
Associated Gate to Representation,"Design Requirements, B, SFR, [FINAL]",SFR Gate
Associated Gate to Representation,"Detailed Analysis Dataset, A, SFR, [FINAL]",SFR Gate
Associated Gate to Representation,"Detailed Analysis Dataset, B, SFR, [FINAL]",SFR Gate
Associated Gate to Representation,"Detailed Analysis Report, B, SFR, [FINAL]",SFR Gate
Associated Gate to Representation,"External Geometry, B, SFR, [DRAFT]",SFR Gate
Associated Gate to Representation,"Internal Geometry, B,  SFR, [FINAL]",SFR Gate
Associated Gate to Representation,"Solution Downselection, A, SFR [FINAL]",SFR Gate
Associated Gate to Representation,"Logical Architecture Model, B, SRR, [FINAL]",SRR  Gate
Associated Gate to Representation,"Requirements Set, A, SRR, [FINAL]",SRR  Gate
Associated Capability,"Detailed Analysis Dataset, A, SFR, [FINAL]",Capability Pillar Alpha
Associated Capability,"Initial Analysis Dataset, A, ASR, [FINAL]",Capability Pillar Alpha
Associated Capability,"Initial Analysis Report, A, ASR, [FINAL]",Capability Pillar Alpha
Associated Capability,"Requirements Set, A, SRR, [FINAL]",Capability Pillar Alpha
Associated Capability,"Solution Downselection, A, SFR [FINAL]",Capability Pillar Alpha
Associated Capability,"Design Requirements, B, SFR, [FINAL]",Capability Pillar Bravo
Associated Capability,"Detailed Analysis Dataset, B, SFR, [FINAL]",Capability Pillar Bravo
Associated Capability,"Detailed Analysis Report, B, SFR, [FINAL]",Capability Pillar Bravo
Associated Capability,"External Geometry, B, SFR, [DRAFT]",Capability Pillar Bravo
Associated Capability,"Internal Geometry, B,  SFR, [FINAL]",Capability Pillar Bravo
Associated Capability,"Logical Architecture Model, B, SRR, [FINAL]",Capability Pillar Bravo
Associated Capability,"Management Plan, B, ASR, [FINAL]",Capability Pillar Bravo
Uses Service,"Detailed Analysis Dataset, B, SFR, [FINAL]",Bulk Analysis Data Management Service
Uses Service,"Initial Analysis Report, A, ASR, [FINAL]",Bulk Analysis Data Management Service
Uses Service,"Detailed Analysis Dataset, A, SFR, [FINAL]",Detailed Analysis Service
Uses Service,"Detailed Analysis Dataset, B, SFR, [FINAL]",Detailed Analysis Service
Uses Service,"Detailed Analysis Report, B, SFR, [FINAL]",Detailed Analysis Service
Uses Service,"Initial Analysis Report, A, ASR, [FINAL]",Document Management Service
Uses Service,"Management Plan, B, ASR, [FINAL]",Document Management Service
Uses Service,"Solution Downselection, A, SFR [FINAL]",Document Management Service
read,"Customer Requirements, Customer, ASR, [FINAL]",A - ASR - Initial Analysis
write,"Initial Analysis Dataset, A, ASR, [FINAL]",A - ASR - Initial Analysis
write,"Initial Analysis Report, A, ASR, [FINAL]",A - ASR - Initial Analysis
write,"Detailed Analysis Dataset, A, SFR, [FINAL]",A - SFR - Solution Selection
read,"Detailed Analysis Report, B, SFR, [FINAL]",A - SFR - Solution Selection
read,"Requirements Set, A, SRR, [FINAL]",A - SFR - Solution Selection
write,"Solution Downselection, A, SFR [FINAL]",A - SFR - Solution Selection
